K 3802.0, -275.0, 80, 30, 80, 2, A_human_skeleton
K -1271.0, 1462.0, 80, 30, 80, 2, Champion_Thenrin
K -4264.0, -2517.0, 80, 30, 80, 2, Champion_Thenrin
K -1402.0, -2378.0, 80, 30, 80, 2, Champion_Thenrin
K -3341.0, -2364.0, 80, 30, 80, 2, Champion_Thenrin
K -1198.0, 1997.0, 80, 30, 80, 2, Champion_Thenrin
K -1543.0, 2037.0, 80, 30, 80, 2, Champion_Thenrin
K -2559.0, -3459.0, 80, 30, 80, 2, Doom
K -3361.0, -576.0, 80, 30, 80, 2, Doom
K -2378.0, -2728.0, 80, 30, 80, 2, Doom
K 144.0, 2027.0, 80, 30, 80, 2, Doom
K -1271.0, 1462.0, 80, 30, 80, 2, Dreadlord_Fanrik
K -4264.0, -2517.0, 80, 30, 80, 2, Dreadlord_Fanrik
K -1402.0, -2378.0, 80, 30, 80, 2, Dreadlord_Fanrik
K -3341.0, -2364.0, 80, 30, 80, 2, Dreadlord_Fanrik
K -1198.0, 1997.0, 80, 30, 80, 2, Dreadlord_Fanrik
K -1543.0, 2037.0, 80, 30, 80, 2, Dreadlord_Fanrik
K -2559.0, -3459.0, 80, 30, 80, 2, Ebon_Lotus
K -3361.0, -576.0, 80, 30, 80, 2, Ebon_Lotus
K -2378.0, -2728.0, 80, 30, 80, 2, Ebon_Lotus
K 144.0, 2027.0, 80, 30, 80, 2, Ebon_Lotus
K -2648.0, 3333.0, 80, 30, 80, 2, Emperor_Ganak
K -439.0, 2134.0, 80, 30, 80, 2, Fallen_Iksar
K -197.0, 2428.0, 80, 30, 80, 2, Fallen_Iksar
K -2559.0, -3459.0, 80, 30, 80, 2, Ffroaak
K -3361.0, -576.0, 80, 30, 80, 2, Ffroaak
K -2378.0, -2728.0, 80, 30, 80, 2, Ffroaak
K 144.0, 2027.0, 80, 30, 80, 2, Ffroaak
K -1271.0, 1462.0, 80, 30, 80, 2, Flayhte
K -4264.0, -2517.0, 80, 30, 80, 2, Flayhte
K -1402.0, -2378.0, 80, 30, 80, 2, Flayhte
K -3341.0, -2364.0, 80, 30, 80, 2, Flayhte
K -1198.0, 1997.0, 80, 30, 80, 2, Flayhte
K -1543.0, 2037.0, 80, 30, 80, 2, Flayhte
K 1955.0, -2600.0, 80, 30, 80, 2, Froglok_Tsu_Shaman
K 87.0, -224.0, 80, 30, 80, 2, Froglok_Vis_Knight
K -268.0, -1073.0, 80, 30, 80, 2, Froglok_Vis_Knight
K 331.0, -953.0, 80, 30, 80, 2, Froglok_Vis_Knight
K -133.0, -915.0, 80, 30, 80, 2, Froglok_Vis_Knight
K 432.0, -256.0, 80, 30, 80, 2, Froglok_Vis_Knight
K -2559.0, -3459.0, 80, 30, 80, 2, Hierophant_Ixyl
K -3361.0, -576.0, 80, 30, 80, 2, Hierophant_Ixyl
K -2378.0, -2728.0, 80, 30, 80, 2, Hierophant_Ixyl
K 144.0, 2027.0, 80, 30, 80, 2, Hierophant_Ixyl
K 4063.0, 2483.0, 80, 30, 80, 2, Iksar_mercenary
K 4060.0, 2500.0, 80, 30, 80, 2, Iksar_mercenary
K 4431.0, 141.0, 80, 30, 80, 2, Iksar_treasure_hunter
K 5121.0, 1823.0, 80, 30, 80, 2, Iksar_treasure_hunter
K 5100.0, 1856.0, 80, 30, 80, 2, Iksar_treasure_hunter
K 4065.0, 2439.0, 80, 30, 80, 2, Iksar_treasure_hunter
K -2470.0, -305.0, 80, 30, 80, 2, Kaiaren
K 2832.0, 1632.0, 80, 30, 80, 2, Kaiaren
K -1271.0, 1462.0, 80, 30, 80, 2, Keeper_Lasnik
K -4264.0, -2517.0, 80, 30, 80, 2, Keeper_Lasnik
K -1402.0, -2378.0, 80, 30, 80, 2, Keeper_Lasnik
K -3341.0, -2364.0, 80, 30, 80, 2, Keeper_Lasnik
